UID,other_commodities
bosques-de-bahia-solano-colombia,Cedro Amargo
bosques-de-bahia-solano-colombia,Balsamo
bosques-de-bahia-solano-colombia,Caimito
bosques-de-bahia-solano-colombia,Chanul Y Virola
relleno-sanitario-parque-industrial-santodomingo-colombia,Residuos sólidos
almond-leaf-scorch-in-alicante,Almond
rhino-poaching-in-the-balule-nature-reserve-in-south-africas-greater-kruger-national-park,Rhino horns
anglo-platinum-mogalakwena-mine-tailings-dam-in-limpopo-south-africa,Platinum
lago-lleu-lleu-chile,escandio
lago-lleu-lleu-chile,rutilio
proposed-national-radioactive-waste-management-facility-south-australia,Low- to immediate-level nuclear waste
proposed-national-radioactive-waste-management-facility-south-australia,mostly generated from nuclear medicine
distruzione-e-cementificazione-del-bosco-ai-prati-di-caprara,Bosque urbano; Recursos forestales
afectados-por-el-nemagon-honduras,Bananas
b-lead-poisoning-melody-chemical-plant-china, lithopone
sasol-and-others-heavily-pollute-the-vaal-river-and-the-air-across-mpumalanga-south-africa,Liquid fuels made of coal
chemical-industry-in-flix-tarragona-spain,In 1949
chemical-industry-in-flix-tarragona-spain,After The Construction Of The Flix Hydroelectrical Power Station
chemical-industry-in-flix-tarragona-spain,"It Also Starts Working A Chlorine/Soda Electrolysis Plant With A Mercury Cell.
In 2004"
chemical-industry-in-flix-tarragona-spain,The Manufactured Commodities Were: Chlorine (150.000 Tonnes/Year)
chemical-industry-in-flix-tarragona-spain,Soda
chemical-industry-in-flix-tarragona-spain,"Chlorine Derivatives And Dicalcium Phosphate (740.000 Tonnes/Year). 

In The Past"
chemical-industry-in-flix-tarragona-spain,The Company Also Produced Ddt Pesticide As Well As Pcbs And Chlorine Solvents. 
order-81s-effect-on-agriculture,seeds
stewart-air-national-guard-base-pfa-contamination-of-city-of-newburghs-primary-water-source-washington-lake,Firefighting Foam (AFFF)
cobre-en-el-valle-de-putaendo-proyecto-vizcachitas,Molybdenum
dojura-choco-colombia,-0
chumbivilcas-against-hudbay-peru,Molybdenum
graphite-mining-in-ambohitsy-haut-madagascar,Graphite
hydrocarbon-extraction-by-oil-and-natural-gas-corporation-ongc-kathiramnagalam-tamil-nadu,Extraction affluents
the-farm-of-a-thousand-cows,Milk production
dona-ines-de-collahuasi-chile,Molibdeno
namibia-agriculture-and-renewables-caparo-farming-project-in-caprivini-namibia,Herbs
namibia-agriculture-and-renewables-caparo-farming-project-in-caprivini-namibia,Nuts
arctic-diesel-leak-in-norilsk-russia,Nickel and palladium
northwest-florida-beaches-airport,wetlands
contaminacion-por-relleno-sanitario-en-comunidad-de-puerto-rico-ecuador,Residuos sólidos
itai-itai,Cadmium as pollutant
mossville-louisiana-environmental-racism-united-states,Vinyl chloride
shandong-silver-hawk-chemical-fiber-co-ltd-viscose-plant-china,Viscose 
gmos-ban-croatia,Animal and plant products 
quebrada-la-lata-magdalena-colombia,Gravas
quebrada-la-lata-magdalena-colombia,Material De Construcción
nuclear-power-plans-uae,Seawater (desalination)
tomato-farmers-of-immokalee-florida,Tomatoes 
nouveau-nonde-graphite-project-quebec-canada,Graphite
kyaukphyu-port,Transport services
