UID,health_impact,name
coastal-zone-megaprojects-el-salvador,,"Mental problems including stress, depression and suicide"
coastal-zone-megaprojects-el-salvador,,Malnutrition
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,,Occupational disease and accidents
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,,Other environmental related diseases
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,,Other environmental related diseases
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,,Other Health impacts
mineria-en-el-cerro-sagrado-care-perro-antioquia,,Malnutrition
mineria-en-el-cerro-sagrado-care-perro-antioquia,,"Mental problems including stress, depression and suicide"
mineria-en-el-cerro-sagrado-care-perro-antioquia,,"Violence related health impacts (homicides, rape, etc..) "
mineria-en-el-cerro-sagrado-care-perro-antioquia,,"Health problems related to alcoholism, prostitution"
mineria-en-el-cerro-sagrado-care-perro-antioquia,,Accidents
mineria-en-el-cerro-sagrado-care-perro-antioquia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mineria-en-el-cerro-sagrado-care-perro-antioquia,,Infectious diseases
mineria-en-el-cerro-sagrado-care-perro-antioquia,,Deaths
macarthur-metallic-black-sand-mining,,Other Health impacts
macarthur-metallic-black-sand-mining,,Accidents
macarthur-metallic-black-sand-mining,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
macarthur-metallic-black-sand-mining,,Malnutrition
macarthur-metallic-black-sand-mining,,"Violence related health impacts (homicides, rape, etc..) "
macarthur-metallic-black-sand-mining,,"Health problems related to alcoholism, prostitution"
macarthur-metallic-black-sand-mining,,Occupational disease and accidents
macarthur-metallic-black-sand-mining,,Infectious diseases
macarthur-metallic-black-sand-mining,,Deaths
macarthur-metallic-black-sand-mining,,Other environmental related diseases
russas-valparaiso-redd-projects-acre-brazil,,Malnutrition
russas-valparaiso-redd-projects-acre-brazil,,"Mental problems including stress, depression and suicide"
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,,Malnutrition
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,,Other environmental related diseases
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,,"Mental problems including stress, depression and suicide"
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,,Other environmental related diseases
pollution-of-the-obangue-river-also-dubanga-river,,Other environmental related diseases
pollution-of-the-obangue-river-also-dubanga-river,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
pollution-of-the-obangue-river-also-dubanga-river,,Infectious diseases
shale-gas-hydraulic-fracturing-ile-anticosti,,Accidents
shale-gas-hydraulic-fracturing-ile-anticosti,,"Mental problems including stress, depression and suicide"
shale-gas-hydraulic-fracturing-ile-anticosti,,Occupational disease and accidents
rubber-tree-plantation-near-de-dja-reserve,,Malnutrition
rubber-tree-plantation-near-de-dja-reserve,,"Mental problems including stress, depression and suicide"
rubber-tree-plantation-near-de-dja-reserve,,"Health problems related to alcoholism, prostitution"
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,Malnutrition
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,"Violence related health impacts (homicides, rape, etc..) "
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,"Health problems related to alcoholism, prostitution"
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,,Deaths
asbestos-in-salonit-anhovo-slovenia,,Accidents
asbestos-in-salonit-anhovo-slovenia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
asbestos-in-salonit-anhovo-slovenia,,Occupational disease and accidents
asbestos-in-salonit-anhovo-slovenia,,Deaths
military-polygon-on-sinjajevina-montenegro,,Accidents
military-polygon-on-sinjajevina-montenegro,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
military-polygon-on-sinjajevina-montenegro,,Malnutrition
military-polygon-on-sinjajevina-montenegro,,"Mental problems including stress, depression and suicide"
military-polygon-on-sinjajevina-montenegro,,"Violence related health impacts (homicides, rape, etc..) "
military-polygon-on-sinjajevina-montenegro,,Deaths
military-polygon-on-sinjajevina-montenegro,,Other Health impacts
olkiluoto-nuclear-power-plant-euraaminne-finland,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
cellulose-industry-in-gualeguaychu-ur-arg,,Accidents
cellulose-industry-in-gualeguaychu-ur-arg,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
cellulose-industry-in-gualeguaychu-ur-arg,,Malnutrition
cellulose-industry-in-gualeguaychu-ur-arg,,Deaths
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,"Mental problems including stress, depression and suicide"
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,Other environmental related diseases
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,Other Health impacts
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,Accidents
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,Other environmental related diseases
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,Other Health impacts
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,,Occupational disease and accidents
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,,Other Health impacts
anti-fracking-uprising-in-ain-salah,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
anti-fracking-uprising-in-ain-salah,,Infectious diseases
complejo-inmobiliario-mitikah-ciudad-viva,,Accidents
complejo-inmobiliario-mitikah-ciudad-viva,,"Mental problems including stress, depression and suicide"
complejo-inmobiliario-mitikah-ciudad-viva,,Infectious diseases
cano-limon-oilfield-in-arauquita-arauca-colombia,,"Violence related health impacts (homicides, rape, etc..) "
cano-limon-oilfield-in-arauquita-arauca-colombia,,"Health problems related to alcoholism, prostitution"
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,"Mental problems including stress, depression and suicide"
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,Occupational disease and accidents
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,Deaths
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,Other environmental related diseases
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,,Other Health impacts
norsudtimber-illegal-in-drc,,Deaths
norsudtimber-illegal-in-drc,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
norsudtimber-illegal-in-drc,,Malnutrition
norsudtimber-illegal-in-drc,,"Violence related health impacts (homicides, rape, etc..) "
gold-min,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
gold-min,,"Violence related health impacts (homicides, rape, etc..) "
gold-min,,"Health problems related to alcoholism, prostitution"
gold-min,,Infectious diseases
gold-min,,Other Health impacts
gold-min,,Malnutrition
gold-min,,Accidents
gold-min,,Occupational disease and accidents
gold-min,,Deaths
presa-de-el-zapotillo-jalisco-mexico,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
presa-de-el-zapotillo-jalisco-mexico,,"Mental problems including stress, depression and suicide"
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,Accidents
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,Malnutrition
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,"Mental problems including stress, depression and suicide"
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,"Violence related health impacts (homicides, rape, etc..) "
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,Deaths
jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,,Infectious diseases
mutanda-mine-democratic-republic-of-congo,,Accidents
mutanda-mine-democratic-republic-of-congo,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mutanda-mine-democratic-republic-of-congo,,Deaths
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,,Accidents
mokoron-hill-nicaragua,,"Mental problems including stress, depression and suicide"
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,,"Violence related health impacts (homicides, rape, etc..) "
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,,Deaths
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,,Other Health impacts
bc-hydro-site-c-dam-canada,,Other Health impacts
sponge-iron-factories-in-west-bengal-india,,Occupational disease and accidents
sponge-iron-factories-in-west-bengal-india,,Infectious diseases
sponge-iron-factories-in-west-bengal-india,,Other environmental related diseases
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,"Mental problems including stress, depression and suicide"
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,Infectious diseases
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,Other environmental related diseases
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,Malnutrition
water-privatisation-egypt,,Infectious diseases
water-privatisation-egypt,,Deaths
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,,"Mental problems including stress, depression and suicide"
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,,Infectious diseases
wanning-waste-to-energy-plant-hainan-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
wanning-waste-to-energy-plant-hainan-china,,Other Health impacts
paks-nuclear-plant-expansion-hungary,,Accidents
paks-nuclear-plant-expansion-hungary,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
polluted-drinking-water-in-basra,,Infectious diseases
polluted-drinking-water-in-basra,,Deaths
polluted-drinking-water-in-basra,,Other Health impacts
polluted-drinking-water-in-basra,,Other environmental related diseases
public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,,Other environmental related diseases
the-decimation-of-palestines-fishing-industry,,Deaths
the-decimation-of-palestines-fishing-industry,,Other environmental related diseases
the-decimation-of-palestines-fishing-industry,,Malnutrition
the-decimation-of-palestines-fishing-industry,,Other Health impacts
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,,Other environmental related diseases
