slug,relevant_government
proposed-riau-1-coal-fired-power-plant-shelved-after-corruption-investigation-in-indonesia,"- Corruption Eradication Commission (KPK)
- Former deputy chairwoman of House of Representatives Commission VII (overseeing energy and mineral resources) Eni Maulani Saragih 
- Former social affairs minister Idrus Marham
- Ministry of Energy and Mineral Resources (ESDM)
- Ministry of State-Owned Enterprises"
hidroelectrica-el-bala-en-el-parque-nacional-madidi-bolivia,"Secretaría de Madio Ambiente y Madre Tierra, Estado Plurinacional de Bolivia, Ministerio de Hidrocarburos."
talvivaara-mining-company,Government of Finland
open-pit-mining-in-ucab-la-cordillera-the-philippines3,"Armed Forces of the Philippines (AFP), 41st Infantry Battalion
Department of Environment and Natural Resources (DENR) [4]"
the-a45-motorway,"- Loire Department General Council
- St-Étienne Metropole 
- French State"
shell-nigeria,"Nigeria National Petroleum Corporation (NNPC), London High Court (UK), US Supreme Court, District Court of the Hague"
gold-mining-in-chalkidiki-greece,"Ministry of Environment, Energy and Climate Change; Municipality of Aristotle; Decentralized Administration of Macedonia-Thrace"
gautam-buddha-airport,"Government of Nepal
Civil Aviation Authority of Nepal (CAAN)
Ministry of Culture, Tourism and Civil Aviation (MoCTCA)
SATIDP Nepal (South Asian Tourism Infrastructure Development Project)
Butwal Sub-Metropolitan City"
coca-cola-jaipur-india,Municipality of Jaipur.
sultan-marshes-wetland-turkey,"The General Directorate of State Hydraulic Works , (Central Office, Provincial Directorate of Kayseri, Regional Directorate of Kayseri), Provincial Directorate of Nature Conservation and National Parks - Kayseri, Provincial Directorate of Agriculture - Kayseri"
mahuva-movement-against-proposed-nirma-cement-plant-india,"Government of Gujarat, National Green Tribunal, Gujarat High Court, Ministry of Environment and Forests (MoEF, Government of India"
aeropuerto-internacional-de-la-zona-sur-aizs,"Dirección General de Aviación Civil (DGAC), Gobierno de Costa Rica,  Instituto Nacional de Fomento Cooperativo (INFOCOOP), Instituto de Desarrollo Rural(INDER),Acueductos y Alcantarillados (AyA), Instituto Costarricense de Electricidad (ICE), Secretaría Técnica Nacional Ambiental (SETENA), Defensoría de los Habitantes"
chernobyl-disaster,"International Atomic Energy Agency (IAEA), Governments of the URSS, State Agency in Administration of Exclusion Zone (Ministry of Ecology and Natural Resources),"
caldag-nickel-mine-turkey,
chinese-companies-grab-indigenous-kuoy-land-cambodia,
water-contamination-from-paper-mills-at-penobscot-reservation-usa,"Main Department of Environmental Protection, USEPA"
gmos-in-catalunya-spain,"Catalan Regional government, Departament dAgricultura, Ramaderia, Pesca, Alimentació i Medi Natural, Ministerio de Agricultura, Alimentación y Medio Ambiente, Consell Català de la Producció Agrària Ecològica"
phosphate-fertilizer-plant-pollution-in-liuchong-village-hubei-province,"Liuchong village officials, Zhongxiang City officials;"
huasco-petcoke-chile,Comisión Nacional del Medio Ambiente CONAMA
vishnugaad-peepalkoti-hydroelectric-project-uk-india,Uttarakhand government
dobrich-landfill-site-bulgaria,"Dobrich Municipality, Dobrich Region, Regional Inspectorate of Environment and Water - Varna, Ministry of Environment and Water, Managing authority of Operational Programme Environment 2007-2013"
mega-oil-project-dudinka-taymyr-russian-arctic,
a-sudden-mass-death-of-fish-in-the-lichu-river-in-minyak-lhagang-dartsedo-county-in-karze-prefecture,
groundwater-depletion,"Central Ground Water Board
Water and Sanitation Management Organisations"
coal-usage-in-egypts-cement-factories,"Ministry of Environment
Ministry of Electricity
Egyptian Cabinet"
sabetta-port-arctic-russia,Government of Russia
exploratory-fracking-in-arquetu-cantabria-spain,"Cantabrian regional governement, Spanish government"
central-hidroelectrica-rucalhue-chile,"Ministerio de Energía, Ministerio del Medio Ambiente"
the-wadi-al-hudda-landfill-a-battle-for-environmental-justice-in-tartous,"Governorate of Tartous (طرطوس محافظة)
Directorate of Solid Waste in Tartous Governorate
(مديرية النفايات الصلبة بمحافظة طرطوس)"
sydney-tar-ponds-contamination-nova-scotia-canada,"Environment Canada
Canadian Ministry of Health
Supreme Court of Nova Scotia"
sta-cruz-zambales-nickel-mining-impacts-sustainable-agriculture-and-fisheries,"Department of Environment and Natural Resources – Mines and Geosciences Bureau
National Commission on Indigenous Peoples
Department of Agriculture"
sito-di-stoccaggio-di-ecoballe-di-taverna-del-re,"Unión Europea; Comisionado del Gobierno; la emergencia de desechos; Ministerio del Medio Ambiente; Región de Campania, en la figura del presidente; Prefecto de Nápoles; Protección civil; Judicial; Alcaldes de Giugliano, Villa Literno, Quiliano y Villaricca."
noble-group-plans-palm-oil-plantations-in-papua-indonesia,"The President, unknown government actors with power to reject merging of Wilmar & Noble’s subsidiaries."
opposition-against-controversial-amazon-route-of-transatlantic-railway-brazil-peru,"Governments of Brazil, Peru, China and regional governments of Acre and Ucayali"
the-turow-coal-mine,"Poland's Government
Czech Republic Government
Saxony’s Government
European Court of Justice"
alpha-coal-powered-cement-factory-mandalay-myanmar,"Ministry of Mines
Ministry of Industry"
quilombolas-land-demarcation-dourados-ms-brazil,"Instituto Nacional de Colonizacao e Reforma Agraria - INCRA, Fundacao Cultural Palmares - FCP, Tribunal Regional Federal da 1ª Regiao - TRF1, Fundacao Nacional de Saude - FUNASA, Instituto Historico e Geografico de Mato Grosso do Sul - IHGMS, Ministerio Publico Federal - MPF"
reserva-ecologica-de-chaparri-contra-traficantes-de-tierra,"Ministerio del Ambiente
Subprefectura de Lambayeque
Poder Judicial
Congreso de la República
 Servicio Nacional Forestal y de Fauna Silvestre (Serfor) 
Dirección de Policía de Turismo y Ecología"
lower-season-ii-dam-will-displace-ethnic-minorities-in-stung-treng-cambodia,"Tung Ciny, deputy director general of the Ministry of Industry, Mining and Energy"
casas-geo-en-el-cerro-de-la-tortuga,"Gobierno del Estado de Morelos
Comisión Estatal de Agua y Medio Ambiente (CEAMA)"
congo-agricultureagrisa-farmland-in-malolo-congo,"Both governments of South Africa and Republic of Congo, Dr. Pieter Mulder, Deputy Minister of Agriculture in South Africa, Department of Trade and Industry (DTI) in South Africa, Rigobert Maboundou, Congolese Minister of Agriculture and Livestock, Congolese Ministry of land resources"
alto-parana-en-misiones-argentina,"Ministerio de Ambiente de Argentina, Gobierno de la Provincia de Misiones, Cámara de Diputados, Cámara de Representantes de Misiones"
druzhba-adria-oil-pipeline-croatia,"The Croatian Government, President and Prime Minister;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          The Russian Government, President 
"
forced-eviction-for-expansion-of-douala-airport,"Wouri division of Littoral Province
Douala City Council
Cameroon Civil Aviation Authority (CCAA)
Aéroports du Cameroun (ADC)
Agency for the Safety of Air Navigation in Africa and Madagascar (ASECNA)"
lgv-limoges-poitiers-high-speed-rail,"State (MINISTÈRE DE L'ÉCOLOGIE, DU DÉVELOPPEMENT DURABLE ET DE L'ÉNERGIE)
RFF (Réseau Ferré de France)
Regional and local Institutions (Conseil regiona, Conseil general, Communaute d'agglomeration)"
taean-national-park-oil-spill-south-korea,"Ministry of the Environment, Ministry of Industry, Ministry of Maritime affairs and Fisheries"
tuna-fattening-farms-in-sigacik-bay-turkey,"Ministry of Environment and Urban Planning, Turkey"
tourism-and-indigenous-rights-in-hawaii-usa,"Governor of Hawaii, Office of Hawaiian Affairs , Hawaii Advisory Council to the U.S. Civil Rights Commission"
koskulana-mini-hydro-power-station,"Central Environmental Authority
Forest Department
Divisional Secretary of Kalawana
Land Commissioner General
Ceylon Electricity Board"
anti-coal-movement-ghana,"Government of Ghana
Ministry of the Environment 
Volta River Authority (VRA)"
dawei-sez-tanintharyi-region-myanmar,"Government of Myanmar
Government of Thailand
Government of Japan"
new-forests-company-and-plantation-uganda,Ugandan National Forestry Authority
hydroelectric-project-patuca-iii-piedras-amarillas-honduras,"Empresa Nacional de Energía Eléctrica (ENE),   Secretaria de Recursos Naturales y Ambiente (SERNA)                                                                                                                                                                                                                                                               
"
big-sandy-lithium-project-usa,Bureau of Land Management
cellulose-factory-celulosa-aurauco-sa-valdivia-chile,"CONAMA - Chile, Government of Chile, Consejo de Defensa del Estado"
contaminacion-biologica-con-cianotoxinas-en-lago-la-encantada-zacatecas-mexico,Secretaría del Agua y Medio Ambiente y el DIF del Gobierno del estado de Zacatecas y municipio de Zacatecas.
malecon-tajamar-cancun-destruye-manglar-en-quintana-roo-mexico,"- Dirección General de Impacto y Riesgo Ambiental de la Secretaría del Medio Ambiente y Recursos Naturales (SEMARNAT) 
- Dirección General de Gestión Forestal y de Suelos de la Secretaría del Medio Ambiente y Recursos Naturales (SEMARNAT)
- Fondo Nacional de Fomento al Turismo (FONATUR)
- Procuraduría Federal de Protección al Medio Ambiente (Profepa)
- Dirección General de Ecología del Ayuntamiento de Benito Juárez (Cancún)"
yasuni-national-park-itt-oil-extraction-ecuador,"Ministry for Oil and Mining Ecuador, President Rafael Correa of Ecuador"
nicinha-a-victim-of-the-jirau-dam-porto-velho-brazil,Ministerio Público
pirquitas-amenaza-aguas-de-jujuy-argentina,"Juzgado Administrativo de Minas de Jujuy, 
Comisión Municipal de Minas de Pirquitas, 
Ministro de Producción,
Fiscal General de Tucumán.
Dirección de Minería de la Provincia de Jujuy, 
Ministerio de Salud de Jujuy.
Dirección Provincial de Recursos Hídricos."
desalination-plant-mamelles-beach-in-dakar-senegal,"Mairie de Dakar, Direction de l’environnement et des établissements classés, Ministère de l’Hydraulique et de l’Assainissement, Direction de l’environnement et des établissements classés (Deec)."
uranium-mining-in-jadugoda-jharkhand-india,"Department of Atomic Energy, Government of India, Atomic Energy Regulatory Board"
natural-resource-exploitation-in-the-dead-sea-area,
illegal-logging-and-land-grabbing-ti-uru-eu-wau-wau-rondonia-brazil,"IBAMA
ICMBio
INCRA
FUNAI
Secretaria de Desenvolvimento Ambiental (Sedam)
Secretária-executiva da Agricultura (Seagri)
Federal Police
Government"
minas-de-carbon-en-isla-guafo-chile,"Intendencia de Puerto Montt
Subsecretaria de Pesca.
Comisión Regional del Borde Costero
Conadi"
oil-spill-at-makaraba-village-nigeria,Nigerian National Petroleum Corporation
pak-ze-aan-de-turnhoutsebaan-the-demand-for-a-less-car-centric-mobility-policy-in-antwerp,"Mayor of Antwerp: Bart de Wever
Antwerp Alderman for mobility: Koen Kennis
Flemish minister for mobility: Lydia Peeters"
san-jose-huevos-verdes-argentina,
hpp-boskov-most-mavrovo-national-park-macedonia,The Ministry of Economy of the Republic of Macedonia
redd-project-resguardo-indigena-unificado-selva-de-mataven-riu-sm,Colombian Ministry of Environment and Sustainable Development
rajasthan-atomic-power-station-raps-india,"Government of India, Government of Rajasthan"
unidad-habitacional-la-cienega,"Comisión Estatal de Aguas y Medio Ambiente (CEAMA)
Comisión Nacional de Agua (Conagua)
Secretaría de Desarrollo Urbano y Obras Públicas del estado de Morelos
Martín Caballero Enrique (gobernador de Emiliano Zapata 2003-2006)
Marco Antonio Adame Castillo (gobernador de Morelos 2006-2012)"
coal-fired-power-plant-cfpp-in-luna-la-union-philippines,"DENR, Department of Environment and Natural Resources.
Energy Regulatory Commission (ERC)."
floriculture-on-lake-naivasha-kenya,"Kenyan Wildlife Service, Naivasha Water Resource Management Authority"
wastepickers-fight-against-incinerator-in-the-city-of-maua-sao-paulo-brazil,"Conselho Estadual de Meio Ambiente (Consema)
CETESB -Companhia Ambiental do Estado de São Paulo
Ministério do Meio-Ambiente (MMA)"
incinerator-in-case-passerini-florence-italy,Government of region of Tuscany
the-mass-killing-of-the-gazelle-in-in-as-swaida-syria,Ministry of Agriculture in the Syrian government
ube-nishiokinoyama-coal-fired-power-plant,"Ministry of Economy, Trade and Industry"
exploratory-fracking-at-leith-hill,Surrey County Council
solid-waste-management-plant-lamdeng-khunnou-in-imphal-manipur-india,"Government of Manipur, Department of Municipal Administration, Housing & Urban Development (Government of Manipur), Imphal Municipal Counci"
environmental-threats-industrial-salmon-new-mining-concessions-in-chiloe-chile,"Servicio Nacional de Geología y Minería http://www.sernageomin.cl/
Ministerio de Medio Ambiente
Ministerio de Minería
CORFO. Ministerio de Economía
Subsecretaría de turismo. Ministerio de Economía"
jindals-melmoth-iron-ore-project-miop-south-africa,KwaZulu-Natal Department of Mineral Resources and Energy (DMRE): https://www.dmr.gov.za/mineral-policy-promotion/operating-mines/kwa-zulu-natal
greenland-mineral-ltds-kuannersuit-kvanefjeld-rare-earth-uranium-project-greenland,Naalakkersuisut (Government of Greenland) - Environmental Agency for Mineral Resources Activities (EAMRA)
air-pollution-in-pittsburgh-pa,"Pennsylvania Department of Environmental Protection
Zoning and Hearing Board of East Pittsburgh
State of Pennsylvania Government"
wake-up-and-smell-the-smog-mongolians-against-air-pollution-in-ulan-bator-mongolia,Mongolian Government;
metal-huasi-contaminacion-minera-en-abra-pampa-jujuy,"Ministerio de Salud de la Nación
SEGEMAR
Ministerio de Ambiente
Defensor del Pueblo de la Nación
Auditoría General de la Nación
Gobierno de la provincia de Jujuy.
Cámara Minera de la Provincia de Jujuy
Secretaría de Minería de Jujuy 
Secretaría de Medio Ambiente y Recursos Naturales de la provincia de Jujuy
Tribunal provincial
Consejo Provincial de Medio Ambiente"
referendum-against-gold-mining-trun-bulgaria,"Supreme Administrative Court
Town council of Trun"
manganese-mining-in-manggarai-east-nusa-tenggara-indonesia,"East Nusa Tenggara government 
Manggarai District Police 
Department of Forestry"
chirano-gold-mines-compensation-struggle-ghana,"Department of Lands and Natural Resource, Land Valuation Division, Department of Finance and Economic Planning, Department of Environment, Science and Technology"
coal-exports-in-west-oakland-the-oakland-bulk-and-oversized-terminal,"Oakland Mayor Libby Schaff, against shipping coal in Oakland"
try-pheap-co-logging-operation-in-cambodia,Agriculture Ministry’s Forestry Administration
mandira-dam-rourkela-orissa-india,"Government of Orissa, Government of Germany"
mina-de-uranio-sierra-pintada,"Ministerio de Energía y Minería de la Nación.
CNEA.
Poder Ejecutivo Nacional. 
Gobierno de la provincia de Mendoza.
Gobierno del departamento de San Rafael. 
Jueces federales.
Corte Suprema de Justicia de la Nación."
okhla-waste-to-energy-plant-india,"Delhi Government.
Uttar Pradesh Government.
National Green Tribunal"
fishery-conflicts-in-the-ganga-river-bhagalpur-bihar-historical-oppression-criminal-threat-and-ecological-degradation,"Bihar State Government and Departments of Animal Husbandry & Fisheries, Environment & Forests, Agriculture, Revenue, and Public Works."
chemical-hazard-conflict-over-the-metales-plant-at-otay-mesa-industrial-park-tijuana-mexico,"Federal Ministry for Environmental Protection (PROFEPA ), Mexico; North American Commission for Environmental Cooperation (NACEC); Environmental Protection Agency (EPA)"
catatumbo-conflict-over-rights-to-land-colombia,"Ministry of Agriculture
INCODER"
hanapepe-salt-ponds-threatened-by-growth-of-helicopter-operations,"Kauai County
Kauai Planning Commission
Office of Hawaiian Affairs (OHA)"
baba-dam-project-los-rios-ecuador,"Government of Ecuador, Ministry of the Environment"
gold-mining-in-county-tyrone-ireland,"Department of the Environment (Northern Ireland)
Invest NI"
sierra-de-aguarague,Gobierno de Bolivia
lonmin-south-africa,"South African Police Service (SAPS), Department of Mineral Resources, Department of Labour, Bojanala Platinum District Municipality, Rustenburg Municipality"
peabody-western-coal-company-black-mesa-mine-complex-closure-leads-to-an-unjust-transition-for-residents-in-navajo-county-arizona,"US Department of the Interior
Office of Surface Mining Reclamation and Enforcement (OSMRE)
Environmental Protection Agency (EPA)
Hopi tribal government 
United States Bureau of Reclamation
Navajo Nation Government"
fisher-couple-murdered-in-nasugbu,"- Rodrigo Duterte (responsable of the 2021, March 7th ""Bloody Sunday"" when at least nine activists were killed following simultaneous police raids in the northern Philippines that came just two days after President Rodrigo Duterte ordered government forces to “kill” and “finish off” all communist rebels in the country)
- Gloria Macapagal Arroyo, the area was declared a Tourism Enterprise Zone by her executive order"
open-air-waste-dumps-near-moscow-russia,"Federal Security Service, The Ministry of Natural Resources and Environment"
thousands-protest-against-proposed-nuclear-reprocessing-plant-in-lianyungang-jiangsu-china,-Lianyungang Municipal Government
ventanas-industrial-complex-chile,"Superintendency of the environment (SMA), Ministerio del Medio Ambiente, el Ministerio de Salud, la Secretaría Regional Ministerial de Salud de Valparaíso, Oficina Nacional de Emergencia, Ministerio del Interior, Armada de Chile, Defensoría de la Niñez, Municipalidad de Puchuncaví, Municipalidad de Quintero, Instituto Nacional de Derechos Humanos"
sterrebos-cut-down-for-car-factory-expansion-the-netherlands,
seli-hydroelectricity-project,"Ministry of Environment, Forests and Climate Change (MoEFCC), Expert Appraisal Committee, Forest Advisory Committee, Department of Forest, GoHP, District Administration L&S"
luangwa-community-forests-project-lcfp-redd,"Zambian Forestry Department
Zambian Department of National Parks and Wildlife
Zambian Ministry of Agriculture 
Zambian Ministry of Green Economy and Environment"
xiluodu-dam,
ocp-heavy-crude-oil-pipeline-ecuador,"Ministry of Mines and Petroleum, Ministry of the Environment, Secretaría Nacional de Hidrocarburos del Ecuador"
pesticide-exposure-in-tulare-county-usa,"Department of Pesticide Regulation, California Department of Food and Agriculture"
proyecto-hidroelectrico-changuinola-ii-chan-140-chan-220,"Autoridad Nacional del Ambiente (ANAM), Ministerio de Desarrollo Social (MDS), la Defensoría del Pueblo, la Autoridad Nacional de Servicios Públicos (ANSP), Autoridad Nacional del Ambiente (ANA)"
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,"-Inner Mongolia Autonomous Region Environmental Protection Department Alxa League, Alxa Left Banner, Tengger Economic Development Zone [10]; 
-relevant departments of Zhongwei Municipal Government [9]; -Zhongwei City Intermediate People's Court of Ningxia Hui Autonomous Region, the Higher People's Court of Ningxia Autonomous Region, Supreme People's Court; Gansu Wuwei Liangzhou District Government [11]; 
-Ministry of Environmental Protection, the State Council, President Xi Jinping [12]"
negros-massacre-murder-of-14-farmers-in-negros-the-philippines,"Philippine National Police
Negros Occidental Government"
yamato-river-the-dirtiest-river-in-japan,"-Ministry of Land, Infrastructure, Transport and Tourism Kinki -Regional Development Bureau, Yamato River river office
-Osaka Prefectural Government
-Nara Prefecture
-Matsubara city"
jimbitono-against-mining-and-hydropower-projects-ecuador,"The Ministry of Mines and Petroleum (now the Ministry of Non-Renewable Natural Resources., Environmental Ministry, Consejo Nacional de Electrificacin-CONELEC, Agencia Agua de Cuenca- Consejo Nacional de Recursos Hdricos , Centro Nacional de Control de Energa-CENACE "
indigenous-peoples-and-ejo-efforts-to-protect-baikal-lake-from-many-development-projects-russia,"Government of Russian Federation
Government of Mongolia"
nizhne-zeyskaya-hpp-russia,
privatisation-of-water-suez-aguas-del-illimani-bolivia,"SAMAPA (Servicio Autonomo Municipal de Agua Potable y Alcantarillado) - Bolivia, Municipality of El Alto - Bolivia, Municipality of La Paz - Bolivia, Ministery of Water,"
mifee,"Government of Indonesia
Merauke Regency Government"
lobau-highway-construction-vienna-austria,"City of Vienna (as by 2022 governed by a coalition of Social Democrats and Liberals)
Climate Ministry (Minister is L. Gewessler of the Greens)
Parlament (only instance that can change the Federal Roads Law and erase the plan to build the Lobau highway from it. Current majority of Conservatives, Social Democrats and Right Wing Freedom Party supports the highway project)"
gosikhurd-dam-irrigation-project-maharastra-india,"Comptroller and Auditor General of India, Maharastra Engineering Research Institute, Ministry of Environment & Forest (MoEF) Government of India, Government of Maharastra "
lead-contaminations-of-population-by-metalosa-factory-bajos-haina-dominincan-republic,"Ministerio de Medioambiente
Ministerio de Salud"
illegal-logging-in-chuka-forest-kenya,"District Forestry Office, National Land Commission, Ministry of Environment and Natural Resources"
temelin-nuclear-power-plant-czech-republic,
mac-oil-palm-plantation-tanintharyi-region-myanmar,"Myanmar Investment Commission (MIC)
Agriculture Department, 
Forest Department,
Department of Agriculture Land Management and Statistics
Karen National Union (KNU)"
vertidos-de-lindano-en-sabinanigo-por-inquinosa,"Ayuntamiento de Sabiñánigo
Ayuntamiento de Huesca
Gobierno de Aragón
Ministerio de Agricultura, Alimentación y Medio Ambiente de España"
unistoten-camp-v-the-ptp-pipeline-bc-canada,"BC Provincial Government
BC Courts
Wet'suwet'en Hereditary Chiefs
RCMP"
petroecuador-guilty-of-environmental-damage-orellana-ecuador,"National Direction of Environmental Protection (DINAPA)., Ministry of Non-Renewable Natural Resources"
militarization-of-lumad-lands-for-coal-mining,"President Benigno Aquino III;  in 2015 the President approved the creation of privately funded “investment defense forces” or militia for mining firms [3]
- US Government
- President Duterte"
sateri-jiujiang-fiber-co-ltd-viscose-plant-china,"Jiujiang City Hukou
Jiangxi Provincial Environmental Protection Department"
sanwei-company,"-Ministry of Ecology and Environment
-The Government of Hongtong County
-The Government of Linfen City
-The Government of Shanxi Province"
environmental-racism-against-the-roma-community-in-italys-campania,"The Municipality of Giugliano, the Campania Region and the Prefecture of Naples, Mayor of the Democratic Party in Giugliano (2019)."
wastepicker-struggles-and-water-contamination-in-jardim-gramacho-rio-de-janeiro-brazil,"Federal Public Ministry (MPF)
Ministry of Environment
State Environmental Institute (INEA; Instituto Estadual de Ambiente)
Secretaria de Meio Ambiente, Agricultura e Abastecimento de Duque de Caxias
Municipalities of Rio de Janeiro and Duque de Caxias
State of Rio de Janeiro
Brazilian government"
opposition-to-the-tramuntana-wind-park-in-gulf-of-roses-catalonia-spain,"Ministry of Ecologic Transition and Demographic Challenge (MITECO)
Generalitat de Catalunya (Catalan regional goverment)"
roma-families-pending-of-eviction-during-the-covid-19-pandemic-in-the-castel-romano-camp-rome-italy,"European Commission and the National Office against Racial Discrimination
Giunta Capitolina
Local Police
Local authorities
Mayor of Rome"
osage-wind-project-usa,Bureau of Indian Affairs; Osage Minerals Council; Osage County Board of Adjustments; US Fish and Wildlife Service (for eagle take permits)
defensa-de-los-espacios-comunes-y-del-parque-publico-en-la-colonia-reforma-social,"Gobierno Federal Mexicano
Gobierno de la Ciudad de México
Alcaldía Miguel Hidalgo"
fosen-vind-project-norway,Supreme Court of Norway
racism-with-environmental-context-el-ejido-on-the-campo-de-dalias-spain,The Andalucían Ministry for Labour
tren-maya-mexico,"Secretaría de Medio Ambiente y Recursos Naturales (Semarnat), Instituto Nacional de Ecología y Cambio Climático,  la Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (Conabio), la Comisión Nacional del Agua (Conagua), la Secretaría de Cultura y al Instituto Nacional de Antropología e Historia (INAH), la Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI)"
illegal-logging-and-cattle-ranching-in-ti-karipuna-and-jaci-parana-rondonia-brazil,"Federal Police
IBAMA
FUNAI
INCRA
Secretariat of Environmental Development (SEDAM)
Public Ministry"
myaing-galay-cement-plant-karen-state-myanmar,"Defense Ministry  
Ministry of Energy"
zonas-de-empleo-y-desarrollo-economico-zede-ciudades-modelo-o-charter-cities-honduras,"Congreso Nacional, Asociación de Juristas por el Estado de Derecho, Asociación de Municipalidades Hondureña (AMHON), Fiscalía de Defensa de la Constitución, Ministerio Público, Secretaría de Planificación y Cooperación Externa (SEPLAN)"
afectados-por-el-nemagon-nicaragua,"Gobierno de Nicaragua, Asamblea Nacional de Nicaragua (ANN),Ministerio de Salud (MS). Corte Suprema de Justicia (CSJ)."
trans-adriatic-pipeline-in-puglia-italy,Melendugno Municipality: http://www.comune.melendugno.le.it/  ; Regione Puglia: http://www.regione.puglia.it/  ; ARPA (Regional Agency for Environmental Protection) : http://www.arpa.puglia.it/web/guest/arpa_home
contaminacion-por-granjas-caroll-en-la-cuenca-libres-oriental-mexico,"Procuraduría Federal de Protección al Ambiente (Profepa)
Comisión Nacional del Agua (Conagua)
Secretaría de Medio Ambiente y Recursos Naturales (Semarnat)"
lemoiz-basque-country-spain,"Dirección General de Energía
Consejo General Vasco (gobierno vasco)
Gobierno de España
Policía y Guardia Civil"
arcelormittal-tremendous-pollution-in-ukraine,"Ukrainian president Volodymir Zelensky,
SBU (The Security Service of Ukraine)
Public Prosecutor’s Office
Deputy Head of the Trade Union, Natalya Butenko"
fukushima,"International Atomic Energy Agency (IAEA); Government of Japan, Japan’s Nuclear Regulation Authority,"
ezeiza-atomic-centre,"Nuclear Regulatory Authority (ARN)
Ministry of Health
Comisión Nacional de Energía Atómica (the National Commission on Atomic Energy) 
Laboratorio Químico del Instituto de Tecnología Minera (INTEMIN)"
bangka-belitung-mining,
sappi-ngodwana-south-africa,"Industrial Development Corporation (IDC) , Department of Trade and Industry"
rio-cervo-hydroelectric-project-chile,"Gobierno de Chile
Comité de Ministros"
sawra-kuddu-hydroelectric-project-hp-india,
waste-incineration-fuelled-cement-plant-in-cordoba-spain,"Andalucia regional government (Junta de Andalucía, Consejería de Medio Ambiente), Córdoba Town council"
obudu-international-passenger-and-cargo-airport,"Cross River State Government
Obudu local government
Okambi Development Association (ODA)
Nigeria Police Force
Nigerian Meteorological Agency (NIMET)
Nigerian Army
Special Anti Robbery Squad (SARS)"
kamchia-sands-protected-area-urbanisation-bulgaria,"Ministry of Environment, Bulgarian Government"
purus-redd-project,"Government of the State of Acre
Municipal Authority of Manoel Urbano
Instituto de Meio Ambiente do Acre - IMAC
IMC - Instituto de Mudanças Climáticas e Regulaçao dos Serviços Ambientais"
atlantic-coast-pipeline,"United States Federal Energy Regulatory Commission
United States Environmental Protection Agency
North Carolina Department of Environmental Quality
Virginia Department of Environmental Quality
Virginia Governor's Advisory Council on Environmental Justice
North Carolina Commission of Indian Affairs Environmental Justice Committee"
haripur-nuclear-power-plant-india,"Government of West Bengal, Central Government of India"
gallok-kallak-iron-mine-sweden,Bergsstaten
gold-mining-and-paramilitary-attack-in-san-fernando-bukidnon-philippines,"The 83rd infantry battalion, the 68th infantry battalion, the 8th infantry battalion, Armed Forces of the Philippines, DENR, San Fernando Municipal Council, Department of Social Welfare and Development, Bukidnon Environment and Natural Resources Office (BENRO)"
polavaram-multipurpose-project-andhra-pradesh-india,"Government of Orissa, Government of Chattisgarh, The State Department of Irrigation, AP, Government of Andhra Pradesh, National Water Development Agency [NWDA]"
relocation-of-kiruna-due-to-iron-ore-mine,The Kiruna Kommun and the Swedish Government
golf-park-dubrovnik-croatia,The Government of the Republic of Croatia; The City of Dubrovnik; The Dubrovnik-Neretva County; The Ministry of Environment and Nature Protection of the Republic of Croatia
waste-treatment-plant-at-bandhwari-in-gurgaon-haryana-india,"Ministry of Environment and Forest (MoEF), Government of India, Government of Haryana"
minera-san-acacio-vetagrande-zacatecas-mexico,"Procuraduría Federal de Protección al Ambiente del Gobierno de México.
Poder Legislativo del Estado de Zacatecas
Ayuntamiento del Municipio de Vetagrande"
chemical-contamination-at-the-cidade-dos-meninos-duque-de-caxias-brazil,"Governo Federal, Ministerio da Saude (former Ministerio da Educacao e Saude), Prefeitura Municipal de Duque de Caxias"
kuther-hydroelectric-project-hp-india,"Government of Himachal Pradesh, Central Energy Authority"
verulam-waterworks-pollutes-mdloti-river-and-la-mercy-lagoon-in-ethekwini-south-africa,"Department of Water and Sanitation 
Department of Conservation and Environmental Affairs 
eThekwini Municipality"
sea-empress-oil-spill-uk,"Marine Pollution Control Unit (MPCU)
Department of Transport (DoT)
Mildford Haven Port Authority (MHPA)"
seoul-informal-waste-collectors,Seoul Metropolitan Government
alto-maipo-hydroelectric-project-pham-chile,
center-parcs-de-roybon,"La préfecture de Grenoble, Office National des forets, Mairie de Roybon"
oil-spill-in-the-sea-and-on-the-beaches-of-northeast-brazil,"State Governments and City Halls, Environment Departments (municipal and state), Health Departments (municipal and state), Federal Universities, Institutes and Research Centers from different areas, Ministry of the Environment, Ministry of Health, Brazilian Institute of the Environment and Renewable Natural Resources (Ibama), Public Ministry, Public Ministry of Labor."
sand-iron-mining-in-kulonprogo-indonesia,Yogyakarta Governor and Sultan of Yogyakarta
depleted-uranium-threat-from-gulf-war-kuwait,"Government of the United Kingdom, U.S. Government"
spotsylvania-solar-energy-center-500-mw-pv-virginia-usa,Spotsylvania County Board of Supervisor
nenskra-hydropower-project-georgia,
