slug,relevant_government
jeannette-kawas-fernandez-case-honduras,"Government of Honduras, Secretaría de Recursos Naturales y Ambiente (SERNA)
Instituto de Conservación Forestal (ICF)"
the-decimation-of-palestines-fishing-industry,Israeli Occupying Forces
northstar-oil-field-usa,US Secretary of the Interior
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,"MMA (Ministery of the Environment).

IBAMA (Brazilian Institute of the Environment and Renewable Natural Resources). It is the administrative arm of the Ministery of the Environment.

MME (Ministery of Mines and Energy).

ANP (National Agency of Petroleum, Natural Gas and Biofuels). It is the federal organ responsible for the regulation of oil, natural gas and biofuels' industries in Brazil. It is the Federal autarchy related to the Ministry of Mines and Energy."
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,"The Ecuadorian National Institute for Forests, Nature and Wildlife , Govenor of Esmeraldas"
fehmarn-belt-fixed-link-germany-denmark,Danish Ministry of Transport
saramaka-people-against-the-state-of-suriname,State of Surinam
waste-management-in-subotica,"Local municipalities, 
Ministry of Environment, Mining and Spatial Planning"
alibag-sez-in-mumbai-mh-india,Government of Maharashtra
palm-islands-uae,Sheikh Mohammed bin Rashid Al Maktoum - (Former President)
champlain-hudson-power-express,"US Department of Energy
New York State Governors Office
US Army Corps of Engineers
US Fish and Wildlife Service
NYS Department of Environmental Conservation"
illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china,"- Siziwang Banner government authorities (四子王旗人民政府)
- Ulanqab Prefecture government authorities (乌兰察布市人民政府)
- Ulanqab Bureau of Land and Resources (乌兰察布市国土资源局)
- Environmental Protection Bureau and Environmental Monitoring Team of Siziwang Banner (四子王旗环境保护局/环境监察队)
- Disciplinary Committee and Supervisory Committee of Siziwang Banner  (四子王旗纪委和监委)
- Police Department of Ulanqab Prefecture (乌兰察布市公安局）
- Ulanqab Intermediate People’s Court (乌兰察布市中级人民法院)
- People’s Government of Ulanqab Prefecture and Qahar Right Rear Banner (察右后旗人民政府）
- Higher People’s Court of Inner Mongolia Autonomous Region (内蒙古自治区高级人民法院)"
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,"Departament de Territori i Sostenibilitat, Generalitat de Catalunya
(Department of territory and sustainability, Catalonia’s Government).

Several municipal government in the area."
homestead-temporary-shelter-for-unaccompanied-children,"US Environmental Protection Agency, Immigration and Customs Enforcement, Department of Health and Human Resources, United States Air Force"
